System,Name,Year,ROM Name,Players,Joystick Input,Other Input,Buttons,Vertical,Manufacturers,Player Legends 2,Retro Arcade 2 Elites,Other CoinOps
arcade,Espgaluda,2003,qix,2,4 way,none,2,VERTICAL,Taito,Yes,Yes,Maybe
arcade,Espgaluda 2,2005,quartet2,2,8 way,none,3,HORIZONTAL,SEGA,Yes,Yes,Maybe
arcade,Evil Stone,1990,rackemup,2,8 way,none,2,VERTICAL,Konami,No,No,Yes
arcade,Evolution Soccer,2001,radm,4,analog,none,2,HORIZONTAL,SEGA,No,No,Yes
arcade,Exciting Hour,1985,raiden,2,8 way,none,2,VERTICAL,Seibu Kaihatsu / Fabtek,Yes,Yes,Maybe
arcade,Exed Exes,1985,raidendx,2,8 way,none,3,VERTICAL,Seibu Kaihatsu,Yes,Yes,Maybe
arcade,Exerion,1983,rallyx,2,4 way,none,1,HORIZONTAL,Namco,Yes,Yes,Maybe
arcade,Explosive Breaker,1992,rambo3,2,trackball,none,2,HORIZONTAL,Taito,No,No,Yes
arcade,Express Raider,1986,rampage,2,8 way,none,2,HORIZONTAL,Bally Midway / Barcrest / Red Gaming,Yes,Yes,Maybe
arcade,Extermination,1987,rampart2p,2,8 way,none,2,HORIZONTAL,Atari Games,No,No,Yes
arcade,Exterminator,1989,rastsaga,2,8 way,dial,2,HORIZONTAL,Taito,No,No,Yes
arcade,Extreme Downhill,1995,raveracw,2,8 way,none,4,HORIZONTAL,Namco,No,No,Yes
arcade,Exvania,1992,rbffspec,4,8 way,none,4,HORIZONTAL NEOGEO,SNK,No,No,Yes
arcade,Exzisus,1987,rbisland,2,4 way,none,2,HORIZONTAL,Taito,No,No,Yes
arcade,Eyes,1982,rdft,2,8 way,none,3,VERTICAL,Seibu Kaihatsu / Tuning license,No,No,Yes
arcade,F-1 Grand Prix,1991,rdft2,1,8 way,stick,2,VERTICAL,Seibu Kaihatsu / Tuning license,No,No,Yes
arcade,F-1 Grand Prix Part 2,1992,redearth,1,8 way,stick,6,HORIZONTAL,Capcom,No,No,Yes
arcade,F-1 Grand Prix Star 2,1993,renegade,1,8 way,pedal / paddle,3,HORIZONTAL,Technos Japan / Taito,No,No,Yes
arcade,F1 Exhaust Note,1991,rezon,2,8 way,pedal / paddle,3,HORIZONTAL,Allumer,No,No,Yes
arcade,F1 Super Lap,1993,rfjet,1,8 way,pedal / paddle,2,VERTICAL,Seibu Kaihatsu / Tuning license,No,No,Yes
arcade,"FairyLand Story, The",1985,ridgera2,2,8 way,none,3,HORIZONTAL,Namco,No,No,Yes
arcade,"Fallen Angels (World), The",1998,ridgerac,2,8 way,none,3,HORIZONTAL,Namco,No,No,Yes
arcade,Fantastic Journey,1994,ringdest,4,8 way,none,6,HORIZONTAL,Capcom,No,Yes,Maybe
arcade,Fantasy,1981,riot,2,8 way,none,3,HORIZONTAL,NMK,No,No,Yes
arcade,Fantasy Land,null,rmpgwt,2,8 way,none,3,HORIZONTAL,Midway / Game Refuge Inc.,No,No,Yes
arcade,Fantasy Zone,1986,roadblst,2,analog,none,3,HORIZONTAL,Atari Games,No,Yes,Maybe
arcade,Fantasy Zone 2: The Tears of Opa-Opa,1988,roadf,1,8 way,none,2,VERTICAL,Konami,No,No,Yes
arcade,Far East of Eden: Kabuki Klash,1995,roadrunn,2,analog,none,2,HORIZONTAL,Atari Games,No,Yes,Maybe
