System,Description,Year,ROM Name,Players,ctrlType,Other Input,Buttons,Vertical,Manufacturers,Player Legends 2,Retro Arcade 2 Elites,Other CoinOps
arcade,Shoot the Bull,1999,shootbul,2,trackball,none,1,VERTICAL,Bally Midway,No,No,Yes
arcade,Shrike Avenger,1997,shrike,2,analog,none,5,HORIZONTAL,Bally/Sente,Yes,Yes,Maybe
arcade,Shuffleshot,1997,shufshot,2,trackball,none,2,HORIZONTAL,Strata/Incredible Technologies / Strata,No,No,Yes
arcade,Shuuz,1990,shuuz,2,trackball,none,2,HORIZONTAL,Atari Games / Atari,No,No,Yes
arcade,Silver Millennium,1981,silvmil,2,8 way,none,3,VERTICAL,Para,No,No,Yes
arcade,"Simpsons Bowling, The",1984,simpbowl,2,8 way,none,3,HORIZONTAL,Konami,No,No,Yes
arcade,"Simpsons, The",1989,simpsons,2,8 way,none,2,HORIZONTAL,Konami,Yes,Yes,Maybe
arcade,Sindbad Mystery,1992,sindbadm,2,4 way,none,1,VERTICAL,SEGA,Yes,Yes,Maybe
arcade,Skull & Crossbones,2000,skullxbo,2,8 way,none,2,HORIZONTAL,Atari Games / Atari,No,Yes,Maybe
arcade,Skull Fang,2001,skullfng,2,8 way,none,4,VERTICAL,Data East,Yes,Yes,Maybe
arcade,Sky Adventure,1983,skyadvnt,2,8 way,none,3,VERTICAL,Alpha Denshi Co.,No,No,Yes
arcade,Sky Alert,1991,skyalert,4,8 way,none,2,VERTICAL,Metro,No,No,Yes
arcade,Sky Army,1991,skyarmy,2,8 way,none,2,VERTICAL,Shoei,No,Yes,Maybe
arcade,Sky Fox,1986,skyfox,2,8 way,positional,2,VERTICAL,Jaleco / Nichibutsu USA license,Yes,Yes,Maybe
arcade,Sky Kid,1992,skykid,2,8 way,none,2,HORIZONTAL,Namco,No,Yes,Maybe
arcade,Sky Kid Deluxe,1988,skykiddx,2,8 way,none,2,HORIZONTAL,Namco,Yes,Yes,Maybe
arcade,Sky Lancer,1991,skylancr,2,8 way,none,1,VERTICAL,Orca / Bordun International,No,Yes,Maybe
arcade,Sky Robo,1988,skyrobo,2,8 way,none,3,HORIZONTAL,Nichibutsu,Yes,Yes,Maybe
arcade,Sky Skipper,1988,skyskipr,2,8 way,none,2,HORIZONTAL,Nintendo,No,No,Yes
arcade,Sky Smasher,1989,skysmash,2,8 way,none,2,VERTICAL,Nihon System,No,No,Yes
arcade,Sky Soldiers,1993,skysoldr,4,8 way,none,2,VERTICAL,Alpha Denshi Co. / SNK of America/Romstar license,Yes,Yes,Maybe
arcade,Slap Shot,1995,slapshot,2,8 way,none,3,HORIZONTAL,Taito,Yes,Yes,Maybe
arcade,Snacks'n Jaxson,1994,snakjack,2,trackball,lightgun,1,HORIZONTAL,Bally/Sente,No,No,Yes
arcade,Snake Pit,1993,snakepit,2,8 way,none,1,HORIZONTAL,Bally/Sente / Bally Sente,No,Yes,Maybe
arcade,Soccer Brawl,1994,socbrawlh,2,8 way,none,4,HORIZONTAL,SNK,No,No,Yes
arcade,Sokonuke Taisen Game,1992,sokonuke,1,8 way,pedal / paddle,1,HORIZONTAL,Sammy Industries,Yes,Yes,Maybe
arcade,Solar Fox,1989,solarfox,2,4 way,none,2,VERTICAL,Bally Midway,No,No,Yes
arcade,Solar Quest,1995,solarq,2,4 way,none,4,HORIZONTAL,Cinematronics,No,No,Yes
arcade,Soldier Girl Amazon,1986,amazon,2,8 way,none,2,VERTICAL,Nichibutsu,No,No,Yes
arcade,Solitary Fighter,1990,solfigtr,2,8 way,none,3,HORIZONTAL,Taito,No,No,Yes
arcade,Sonic Blast Man II Special Turbo,1985,sblast2b,1,8 way,lightgun,6,HORIZONTAL,bootleg,No,No,Yes
arcade,Sonic Boom,1984,sonicbom,2,8 way,none,3,VERTICAL,SEGA,No,No,Yes
arcade,Soul Edge Ver. 2,1985,souledge,1,8 way,lightgun,4,HORIZONTAL,Namco,No,No,Yes
arcade,Space Ace,1984,spaceace,2,8 way,none,1,HORIZONTAL,Cinematronics,No,No,Yes
arcade,Space Chaser,1986,schaser,2,4 way,none,1,VERTICAL,Taito,No,No,Yes
arcade,Space Duel,1987,spacduel,2,4 way,none,3,HORIZONTAL,Atari,No,No,Yes
arcade,Space Dungeon,1986,sdungeon,2,twin stick,none,0,VERTICAL,Taito,No,No,Yes
arcade,Space Firebird,1984,spacefb,2,4 way,none,2,VERTICAL,Nintendo,Yes,Yes,Maybe
arcade,Space Fury,1986,spacefury,1,4 way,pedal / paddle,2,HORIZONTAL,SEGA,No,No,Yes
arcade,Space Odyssey,1989,spaceod,2,8 way,none,2,VERTICAL,SEGA,Yes,Yes,Maybe
arcade,Space Panic,1991,panic,4,4 way,none,2,VERTICAL,Universal,Yes,Yes,Maybe
arcade,Space Raider,1995,sraider,2,4 way,none,1,VERTICAL,Universal,Yes,Yes,Maybe
arcade,Space Wars,1996,spacewar,2,4 way,none,3,HORIZONTAL,Cinematronics,No,Yes,Maybe
arcade,Spatter,1995,spatter,2,8 way,none,2,HORIZONTAL,SEGA,No,No,Yes
arcade,Spectrum 2000,1981,spec2k,1,8 way,none,2,VERTICAL,Yona Tech,No,No,Yes
arcade,Speed Racer,1987,speedrcr,2,analog,none,4,HORIZONTAL,Namco,Yes,Yes,Maybe
arcade,Spelunker,1980,spelunkr,4,8 way,paddle,2,HORIZONTAL,Irem / licensed from Broderbund,No,No,Yes
