System,ROM Name,Description,ISVERTICAL,FW Reborn,LEGENDS,FW Atarashii,INSERT COIN,FOCUS,FW Atarashii Gems,FW Atarashii Mini,FW Atarashii Micro,Vertical,Year,numberPlayers,ctrlType,Buttons,Simple Manufacturer,Joystick Input,Other Input,Manufacturers
arcade,firebarr,Fire Barrel,,,,,,,,,,VERTICAL,1993,2,8 way,3,Irem,joy8way,,Irem
arcade,firefox,Fire Fox,,,,,,,,,,HORIZONTAL,1984,1,analog,4,Atari,,stick,Atari
arcade,firetrap,Fire Trap,,,,,,,,,,VERTICAL,1986,2,twin stick,1,Data East,doublejoy4way,,Woodplace Inc. / Data East
arcade,fiveside,Five a Side Soccer,,,,,,,,,,VERTICAL,1995,2,trackball,1,Konami,,trackball,Konami
arcade,flashgal,Flashgal,,,,,,,,,,HORIZONTAL,1985,2,8 way,2,SEGA,joy8way,,Kyugo / SEGA
arcade,flytiger,Flying Tiger,,,,,,,,,,VERTICAL,1992,2,8 way,2,Other,joy8way,,Dooyong
arcade,formatz,Formation Z,,,,,,,,,,HORIZONTAL,1984,2,8 way,2,Other,joy8way,,Jaleco
arcade,frenzy,Frenzy,,,,,,,,,,HORIZONTAL,1981,2,8 way,1,Other,joy8way,,"Stern Electronics / Stern Electronics, Inc."
arcade,friskyt,Frisky Tom,,,,,,,,,,HORIZONTAL,1981,2,8 way,0,Other,joy8way,,Nichibutsu
arcade,funkyjet,Funky Jet,,,,,,,,,,HORIZONTAL,1992,2,8 way,3,Data East,joy8way,,Mitchell / Data East
arcade,futspy,Future Spy,,,,,,,,,,VERTICAL,1984,2,8 way,2,SEGA,joy8way,,SEGA
arcade,gdarius2,G-Darius Ver.2,,,,,,,,,,HORIZONTAL,1997,4,8 way,3,Taito,joy8way,,Taito
arcade,gstream,G-Stream G2020,,,,,,,,,,VERTICAL,2002,2,8 way,4,Other,joy8way,,Oriental Soft Japan
arcade,gaia,Gaia Crusaders,,,,,,,,,,HORIZONTAL,1999,2,8 way,4,Other,joy8way,,Noise Factory
arcade,gaialast,Gaia: The Last Choice of Earth,,,,,,,,,,HORIZONTAL,1999,2,8 way,3,Other,joy8way,,SemiCom / XESS
arcade,galastrm,Galactic Storm,,,,,,,,,,HORIZONTAL,1992,1,analog,4,Taito,,stick,Taito
arcade,gwarrior,Galactic Warriors,,,,,,,,,,HORIZONTAL,1985,2,8 way,3,Konami,joy8way,,Konami
arcade,galaxyfg,Galaxy Fight: Universal Warriors,,,,,,,,,,HORIZONTAL NEOGEO,1995,2,8 way,4,Neo Geo,joy8way,,Sunsoft
arcade,galaxyr,Galaxy Ranger,,,,,,,,,,HORIZONTAL,1983,1,8 way,2,SEGA,joy8way,,SEGA
arcade,galmedes,Galmedes,,,,,,,,,,VERTICAL,1992,2,8 way,2,Other,joy8way,,Visco
arcade,galpani2,Gals Panic 2,,,,,,,,,,VERTICAL,1993,2,8 way,3,Other,joy8way,,Kaneko
arcade,galpans2,Gals Panic S2,,,,,,,,,,HORIZONTAL,1999,2,8 way,1,Other,joy8way,,Kaneko
